ticker,risk_level,method
A,Med-Low,Smart Model
AAL,Low,Smart Model
AAP,Low,Smart Model
AAPL,Med-Low,Smart Model
ABBV,Medium,Smart Model
ABNB,Med-Low,Smart Model
ABT,Med-Low,Smart Model
ACGL,High,Smart Model
ACN,Med-Low,Smart Model
ADBE,Med-Low,Smart Model
ADI,Medium,Smart Model
ADP,High,Smart Model
ADSK,Med-Low,Smart Model
AEE,Medium,Smart Model
AEP,High,Smart Model
AES,High,Smart Model
AFG,High,Smart Model
AFL,Med-Low,Smart Model
AIG,High,Smart Model
AIZ,Med-Low,Smart Model
AJG,High,Smart Model
AKAM,Med-Low,Smart Model
ALB,Med-High,Smart Model
ALGN,Low,Smart Model
ALK,Medium,Smart Model
ALL,Med-Low,Smart Model
ALLE,Med-Low,Smart Model
AMAT,Med-Low,Smart Model
AMCR,Medium,Smart Model
AMD,Med-Low,Smart Model
AME,Med-Low,Smart Model
AMGN,Med-Low,Smart Model
AMP,Medium,Smart Model
AMT,High,Smart Model
AMZN,Low,Smart Model
AN,Low,Smart Model
ANET,Med-Low,Smart Model
ANF,Med-Low,Smart Model
AON,Med-Low,Smart Model
AOS,Low,Smart Model
APA,Medium,Smart Model
APD,Medium,Smart Model
APH,Low,Smart Model
APTV,Low,Smart Model
ARE,High,Smart Model
ARES,High,Smart Model
ASML,Low,Smart Model
ATO,High,Smart Model
AVB,Med-Low,Smart Model
AVGO,Med-Low,Smart Model
AVY,Medium,Smart Model
AWK,High,Smart Model
AXP,High,Smart Model
AZO,Med-Low,Smart Model
BA,Med-Low,Smart Model
BAC,High,Smart Model
BALL,Medium,Smart Model
BAX,Med-High,Smart Model
BBWI,Medium,Smart Model
BBY,Low,Smart Model
BDX,Medium,Smart Model
BEN,Medium,Smart Model
BG,Low,Smart Model
BIDU,Medium,Smart Model
BIIB,Medium,Smart Model
BIO,Med-Low,Smart Model
BK,Low,Smart Model
BKNG,Med-Low,Smart Model
BKR,Low,Smart Model
BLK,High,Smart Model
BMY,Medium,Smart Model
BR,Med-Low,Smart Model
BRO,High,Smart Model
BSX,Medium,Smart Model
BWA,Low,Smart Model
BXP,High,Smart Model
C,Low,Smart Model
CAG,High,Smart Model
CAH,Low,Smart Model
CARR,Medium,Smart Model
CAT,Low,Smart Model
CB,Med-Low,Smart Model
CBOE,Med-Low,Smart Model
CBRE,Low,Smart Model
CCI,High,Smart Model
CCL,Medium,Smart Model
CDNS,Med-Low,Smart Model
CDW,Medium,Smart Model
CE,High,Smart Model
CEG,Med-Low,Smart Model
CF,Med-Low,Smart Model
CFG,High,Smart Model
CHD,Medium,Smart Model
CHRW,Low,Smart Model
CHTR,Med-Low,Smart Model
CI,Medium,Smart Model
CINF,Med-Low,Smart Model
CL,Low,Smart Model
CLX,Med-Low,Smart Model
CMCSA,Med-Low,Smart Model
CME,High,Smart Model
CMG,Med-Low,Smart Model
CMI,Medium,Smart Model
CMS,High,Smart Model
CNC,Low,Smart Model
CNP,Med-Low,Smart Model
COF,Medium,Smart Model
COIN,Med-High,Smart Model
COO,Med-Low,Smart Model
COP,Med-Low,Smart Model
COST,Low,Smart Model
CPB,Medium,Smart Model
CPRT,Med-Low,Smart Model
CPT,Med-Low,Smart Model
CRL,High,Smart Model
CRM,Med-Low,Smart Model
CRWD,Medium,Smart Model
CSCO,Med-Low,Smart Model
CSGP,Medium,Smart Model
CSX,Med-Low,Smart Model
CTAS,Med-Low,Smart Model
CTRA,Medium,Smart Model
CTSH,Low,Smart Model
CTVA,Med-Low,Smart Model
CVS,Medium,Smart Model
CVX,Medium,Smart Model
CZR,Medium,Smart Model
D,High,Smart Model
DAL,Medium,Smart Model
DASH,Medium,Smart Model
DD,Low,Smart Model
DDOG,Medium,Smart Model
DE,Med-Low,Smart Model
DELL,Medium,Smart Model
DG,Medium,Smart Model
DGX,Medium,Smart Model
DHI,Medium,Smart Model
DHR,Medium,Smart Model
DIS,Medium,Smart Model
DKNG,Low,Smart Model
DLR,High,Smart Model
DLTR,Medium,Smart Model
DOCU,Med-Low,Smart Model
DOV,Low,Smart Model
DOW,High,Smart Model
DPZ,Low,Smart Model
DRI,Medium,Smart Model
DTE,Med-Low,Smart Model
DUK,Med-Low,Smart Model
DVA,Low,Smart Model
DVN,Med-Low,Smart Model
DXCM,Med-Low,Smart Model
EA,Medium,Smart Model
EBAY,Low,Smart Model
ECL,Med-Low,Smart Model
ED,Med-Low,Smart Model
EFX,Med-Low,Smart Model
EIX,High,Smart Model
EL,Medium,Smart Model
ELV,Low,Smart Model
EMN,Medium,Smart Model
EMR,Medium,Smart Model
ENPH,Medium,Smart Model
EOG,Medium,Smart Model
EPAM,Low,Smart Model
EQIX,Med-Low,Smart Model
EQR,Med-Low,Smart Model
EQT,Med-Low,Smart Model
ES,High,Smart Model
ESS,High,Smart Model
ETN,Low,Smart Model
ETR,High,Smart Model
EVRG,High,Smart Model
EW,Med-Low,Smart Model
EXC,High,Smart Model
EXPD,Low,Smart Model
EXPE,Medium,Smart Model
EXR,Med-Low,Smart Model
F,Med-High,Smart Model
FANG,High,Smart Model
FAST,Med-Low,Smart Model
FCX,Med-Low,Smart Model
FDS,Med-Low,Smart Model
FDX,Medium,Smart Model
FE,Medium,Smart Model
FFIV,Med-Low,Smart Model
FICO,Med-Low,Smart Model
FIS,Medium,Smart Model
FITB,Low,Smart Model
FMC,High,Smart Model
FOXA,Medium,Smart Model
FRT,Med-Low,Smart Model
FSLR,Med-Low,Smart Model
FTNT,Low,Smart Model
FTV,Medium,Smart Model
GD,Low,Smart Model
GE,Med-Low,Smart Model
GEHC,Medium,Smart Model
GEN,Medium,Smart Model
GFS,Medium,Smart Model
GILD,Med-Low,Smart Model
GIS,Medium,Smart Model
GL,Med-Low,Smart Model
GLW,Med-Low,Smart Model
GM,Medium,Smart Model
GNRC,Low,Smart Model
GOOG,Low,Smart Model
GOOGL,Med-Low,Smart Model
GPC,Low,Smart Model
GPN,High,Smart Model
GRMN,Low,Smart Model
GS,High,Smart Model
GWW,Med-Low,Smart Model
HAL,Low,Smart Model
HAS,Med-Low,Smart Model
HBAN,Low,Smart Model
HCA,Med-Low,Smart Model
HD,Med-Low,Smart Model
HIG,Med-Low,Smart Model
HII,Low,Smart Model
HLT,Medium,Smart Model
HOLX,Medium,Smart Model
HON,Medium,Smart Model
HOOD,Med-Low,Smart Model
HPE,Medium,Smart Model
HPQ,Medium,Smart Model
HRL,Low,Smart Model
HSIC,Low,Smart Model
HST,Medium,Smart Model
HSY,Low,Smart Model
HUM,Low,Smart Model
HWM,Med-Low,Smart Model
IBM,Med-Low,Smart Model
ICE,Med-Low,Smart Model
IDXX,Med-Low,Smart Model
IEX,Medium,Smart Model
IFF,Medium,Smart Model
ILMN,Low,Smart Model
INCY,Med-Low,Smart Model
INTC,Medium,Smart Model
INTU,Medium,Smart Model
INVH,High,Smart Model
IP,High,Smart Model
IQV,Med-Low,Smart Model
IR,Med-Low,Smart Model
IRM,Medium,Smart Model
ISRG,Medium,Smart Model
IT,Low,Smart Model
ITW,Low,Smart Model
IVZ,Medium,Smart Model
J,Medium,Smart Model
JBHT,Med-Low,Smart Model
JBL,Medium,Smart Model
JCI,Medium,Smart Model
JD,Medium,Smart Model
JKHY,Med-Low,Smart Model
JNJ,Med-Low,Smart Model
JPM,High,Smart Model
KDP,Med-Low,Smart Model
KEY,High,Smart Model
KEYS,Med-Low,Smart Model
KHC,Med-High,Smart Model
KIM,Low,Smart Model
KLAC,Med-Low,Smart Model
KMB,Low,Smart Model
KMI,Med-Low,Smart Model
KMX,Medium,Smart Model
KO,Med-Low,Smart Model
KR,High,Smart Model
L,High,Smart Model
LCID,High,Smart Model
LDOS,Med-Low,Smart Model
LEN,Medium,Smart Model
LH,Low,Smart Model
LHX,Med-Low,Smart Model
LIN,Med-Low,Smart Model
LKQ,Low,Smart Model
LLY,Low,Smart Model
LMT,Low,Smart Model
LNC,Low,Smart Model
LNT,Med-Low,Smart Model
LOW,Med-Low,Smart Model
LRCX,Med-Low,Smart Model
LULU,Med-Low,Smart Model
LUV,Medium,Smart Model
LVS,Medium,Smart Model
LW,Medium,Smart Model
LYB,High,Smart Model
LYFT,Low,Smart Model
LYV,Medium,Smart Model
MA,Low,Smart Model
MAA,Med-Low,Smart Model
MAR,Low,Smart Model
MAS,Med-Low,Smart Model
MCD,Med-Low,Smart Model
MCHP,Medium,Smart Model
MCK,Low,Smart Model
MCO,Med-Low,Smart Model
MDB,Medium,Smart Model
MDLZ,Medium,Smart Model
MDT,Medium,Smart Model
MELI,Medium,Smart Model
MET,High,Smart Model
META,Med-Low,Smart Model
MGM,Medium,Smart Model
MHK,Low,Smart Model
MKC,Medium,Smart Model
MKTX,Med-Low,Smart Model
MLM,Med-Low,Smart Model
MMM,Low,Smart Model
MNST,Low,Smart Model
MO,Med-Low,Smart Model
MOH,Low,Smart Model
MOS,Med-Low,Smart Model
MPC,Medium,Smart Model
MPWR,Low,Smart Model
MRK,Med-Low,Smart Model
MRNA,High,Smart Model
MRVL,Med-Low,Smart Model
MS,Low,Smart Model
MSCI,Med-Low,Smart Model
MSFT,Med-Low,Smart Model
MSI,Low,Smart Model
MTB,High,Smart Model
MTCH,Low,Smart Model
MTD,Med-Low,Smart Model
MU,Med-Low,Smart Model
NCLH,Medium,Smart Model
NDAQ,Medium,Smart Model
NDSN,Med-Low,Smart Model
NEE,Med-Low,Smart Model
NEM,Med-Low,Smart Model
NET,High,Smart Model
NFLX,Med-Low,Smart Model
NI,Med-Low,Smart Model
NKE,Med-Low,Smart Model
NOC,Med-Low,Smart Model
NOW,Medium,Smart Model
NRG,Medium,Smart Model
NSC,Medium,Smart Model
NTAP,Med-Low,Smart Model
NTES,Med-Low,Smart Model
NTRS,High,Smart Model
NUE,Medium,Smart Model
NVDA,Med-Low,Smart Model
NVR,Med-Low,Smart Model
NWL,High,Smart Model
NWSA,Medium,Smart Model
NXPI,Medium,Smart Model
O,Low,Smart Model
ODFL,Low,Smart Model
OGN,High,Smart Model
OKE,Medium,Smart Model
OKTA,Medium,Smart Model
OMC,Medium,Smart Model
ON,Medium,Smart Model
ORCL,Med-Low,Smart Model
ORLY,Med-Low,Smart Model
OTIS,Low,Smart Model
OXY,Low,Smart Model
PANW,Medium,Smart Model
PAYC,Medium,Smart Model
PAYX,Med-Low,Smart Model
PCAR,Medium,Smart Model
PCG,Medium,Smart Model
PDD,Low,Smart Model
PEG,Med-Low,Smart Model
PEP,Low,Smart Model
PFE,Medium,Smart Model
PFG,Low,Smart Model
PG,Med-Low,Smart Model
PGR,Med-Low,Smart Model
PH,Med-Low,Smart Model
PHM,Low,Smart Model
PKG,Medium,Smart Model
PLD,Med-Low,Smart Model
PM,Med-Low,Smart Model
PNC,High,Smart Model
PNR,Med-Low,Smart Model
PNW,High,Smart Model
PODD,Low,Smart Model
POOL,Medium,Smart Model
PPG,Low,Smart Model
PPL,Med-Low,Smart Model
PRU,Medium,Smart Model
PSA,High,Smart Model
PSX,Low,Smart Model
PTC,Med-Low,Smart Model
PTON,High,Smart Model
RL,Med-Low,Smart Model
RMD,Med-Low,Smart Model
ROK,Med-Low,Smart Model
ROKU,Low,Smart Model
ROL,Med-Low,Smart Model
ROP,High,Smart Model
ROST,Med-Low,Smart Model
RSG,Med-Low,Smart Model
RTX,Medium,Smart Model
RVTY,Med-Low,Smart Model
SBAC,High,Smart Model
SBUX,Medium,Smart Model
SCHW,High,Smart Model
SE,Medium,Smart Model
SEDG,Med-High,Smart Model
SEE,Medium,Smart Model
SHOP,Low,Smart Model
SHW,Low,Smart Model
SIRI,Med-Low,Smart Model
SJM,Medium,Smart Model
SLB,Medium,Smart Model
SNA,Low,Smart Model
SNOW,Med-High,Smart Model
SNPS,Med-Low,Smart Model
SO,High,Smart Model
SPG,High,Smart Model
SPGI,Medium,Smart Model
SRE,High,Smart Model
STE,Medium,Smart Model
STLD,Medium,Smart Model
STT,High,Smart Model
STX,Med-Low,Smart Model
STZ,Med-Low,Smart Model
SWK,Medium,Smart Model
SWKS,Medium,Smart Model
SYF,Med-Low,Smart Model
SYK,Medium,Smart Model
SYY,Low,Smart Model
T,Medium,Smart Model
TAP,High,Smart Model
TDG,Medium,Smart Model
TDY,Medium,Smart Model
TEAM,Medium,Smart Model
TECH,Medium,Smart Model
TEL,Med-Low,Smart Model
TER,Low,Smart Model
TFC,High,Smart Model
TFX,Med-High,Smart Model
TGT,Medium,Smart Model
THC,Medium,Smart Model
TJX,Med-Low,Smart Model
TMO,Medium,Smart Model
TMUS,Medium,Smart Model
TPR,Med-Low,Smart Model
TRGP,Low,Smart Model
TRMB,Med-Low,Smart Model
TROW,Med-Low,Smart Model
TRV,Medium,Smart Model
TSCO,Low,Smart Model
TSLA,Medium,Smart Model
TSN,Medium,Smart Model
TT,Low,Smart Model
TTD,Med-Low,Smart Model
TTWO,Medium,Smart Model
TWLO,Medium,Smart Model
TXN,Med-Low,Smart Model
TXT,Medium,Smart Model
TYL,Medium,Smart Model
UAA,Med-High,Smart Model
UAL,Medium,Smart Model
UBER,Low,Smart Model
UDR,Med-Low,Smart Model
UHS,Med-Low,Smart Model
ULTA,Med-Low,Smart Model
UNH,Low,Smart Model
UNP,Med-Low,Smart Model
UPS,Med-Low,Smart Model
UPST,Medium,Smart Model
URI,Med-Low,Smart Model
USB,Low,Smart Model
V,Med-Low,Smart Model
VFC,Med-Low,Smart Model
VICI,Low,Smart Model
VLO,Medium,Smart Model
VMC,Medium,Smart Model
VRSK,Med-Low,Smart Model
VRSN,Med-Low,Smart Model
VRTX,Med-Low,Smart Model
VTR,Medium,Smart Model
VTRS,Med-High,Smart Model
VZ,Medium,Smart Model
WAB,Medium,Smart Model
WAT,Low,Smart Model
WBD,Medium,Smart Model
WDAY,Medium,Smart Model
WDC,Med-Low,Smart Model
WEC,High,Smart Model
WELL,Medium,Smart Model
WFC,Low,Smart Model
WHR,Low,Smart Model
WM,Med-Low,Smart Model
WMB,Med-Low,Smart Model
WMT,Low,Smart Model
WRB,Med-Low,Smart Model
WST,Low,Smart Model
WTW,Med-Low,Smart Model
WY,Medium,Smart Model
WYNN,Medium,Smart Model
XEL,High,Smart Model
XOM,Medium,Smart Model
XRAY,High,Smart Model
XYL,Medium,Smart Model
YUM,Med-Low,Smart Model
ZBH,Med-Low,Smart Model
ZBRA,Medium,Smart Model
ZION,High,Smart Model
ZM,Med-Low,Smart Model
ZS,Medium,Smart Model
ZTS,Low,Smart Model
BRK-B,Low,Volatility Fallback
PWR,Low,Volatility Fallback
PYPL,Low,Volatility Fallback
QCOM,Low,Volatility Fallback
QRVO,Low,Volatility Fallback
RBLX,Medium,Volatility Fallback
RCL,Med-Low,Volatility Fallback
REG,Low,Volatility Fallback
REGN,Low,Volatility Fallback
RF,Low,Volatility Fallback
RHI,Med-Low,Volatility Fallback
RIVN,Med-High,Volatility Fallback
RJF,Low,Volatility Fallback
